【第45回第29問】1 仮に陸揚げした貨物であって、本邦以外の地域を仕向地とする船荷証券により運送されたものを輸出する場合には、その貨物の種類にかかわらず経済産業大臣の輸出の許可を要しない。,✖
【第45回第29問】2 輸出の承認の有効期間は、原則としてその承認をした日から 6 月であるが、経済産業大臣は、当該期間と異なる有効期間を定め、又はその有効期間を延長することができる。,〇
【第45回第29問】3 絶滅のおそれのある野生動植物の種の国際取引に関する条約附属書Ⅱに掲げる貨物であっても、一時的に入国して出国する者が携帯して輸出する場合には、輸出の承認を要しない。,✖
【第45回第29問】4 貨物を輸出しようとする者は、輸出貿易管理令別表第二中欄に掲げる貨物を同表下欄に掲げる地域を仕向地として輸出しようとする場合に限り、輸出の承認を受けなければならない。,✖
【第45回第29問】5 税関長は、輸出の許可及び承認の有効期間を延長することができない。,✖
【第46回第14問】1 輸出貿易管理令別表第 1 の中欄に掲げる貨物を、アメリカ合衆国を仕向地として輸出しようとする場合には、当該貨物の総価額が 100 万円を超える場合を除き、経済産業大臣の輸出の許可を要することはない。,✖
【第46回第14問】2 輸出貿易管理令別表第 2 の 43 の項の中欄に掲げる重要文化財を輸出しようとする場合には、文化財保護法による輸出の許可を受けている場合に限り、経済産業大臣の輸出の承認を受けることができる。,〇
【第46回第14問】3 貨物を輸出しようとする者は、輸出貿易管理令別表第 2 の中欄に掲げる貨物を同表の下欄に掲げる地域を仕向地として輸出しようとする場合に限り、経済産業大臣の輸出の承認を受けなければならない。,✖
【第46回第14問】4 経済産業大臣の輸出の許可の申請は、電子情報処理組織による輸出入等関連業務の処理等に関する法律第 2 条第 1 号に規定する電子情報処理組織を利用して行うことができる。,〇
【第46回第14問】5 経済産業大臣は、経済産業大臣の輸出の許可を要する貨物について当該許可を受けないで輸出をした者に対し、3 年以内の期間を限り、輸出を行うことを禁止することができる。,〇
【第47回第29問】1 仮に陸揚げした貨物のうち、本邦以外の地域を仕向地とする船荷証券により運送されたものを輸出する場合であっても、当該貨物が輸出貿易管理令別表第 1 の 1 の項の中欄に掲げる貨物に該当するときは、経済産業大臣の輸出の許可を受けることを要する。,〇
【第47回第29問】2 輸出貿易管理令別表第1の2 の項の中欄及び同令別表第 2 の 20 の項の中欄に掲げる核燃料物質に該当する貨物を輸出しようとする場合において、経済産業大臣の輸出の許可を受けたときは、経済産業大臣の輸出の承認を受けることを要しない。,✖
【第47回第29問】3 輸出貿易管理令別表第 1 の 16 の項の中欄に掲げる貨物に該当する貨物をアメリカ合衆国を仕向地として輸出しようとする場合には、経済産業大臣の輸出の許可を受けることを要する。,✖
【第47回第29問】4 外国にある者に外国での加工を委託する委託加工貿易契約に係る加工原材料を輸出しようとする場合には、当該加工の内容にかかわらず経済産業大臣の輸出の承認を受けることを要する。,✖
【第47回第29問】5 経済産業大臣の輸出の承認の有効期間は、その承認をした日から 3 月である。,✖
【第48回第28問】1 輸出貿易管理令別表第 1 の中欄に掲げる貨物であって、総価額 100 万円以下のものをアメリカ合衆国を仕向地として輸出する場合には、経済産業大臣の輸出の許可を受けることを要しない。,✖
【第48回第28問】2 輸出貿易管理令別表第１の 4 の項の中欄に掲げる貨物を仮に陸揚げし、大韓民国を仕向地とする船荷証券により運送されたものを輸出する場合には、経済産業大臣の輸出の許可を受けることを要しない。,〇
【第48回第28問】3 貨物を輸出しようとする者は、輸出貿易管理令別表第 2 の中欄に掲げる貨物を同表の下欄に掲げる地域を仕向地として輸出する場合に限り、経済産業大臣の輸出の承認を受けなければならない。,✖
【第48回第28問】4 本邦から出国する旅客の携帯品については、その貨物の種類にかかわらず、経済産業大臣の輸出の承認を要しない。,✖
【第48回第28問】5 外国為替及び外国貿易法第 48 条第１項の規定による許可の有効期間の延長に係る経済産業大臣の権限は、輸出貿易管理令第 11 条の規定に基づき、全て税関長に委任されている。,✖
【第48回第29問】1 貨物を輸入しようとする者が輸入貿易管理令第 9 条の規定に基づく輸入割当てを受けているときは、当該貨物の輸入に際し、経済産業大臣の輸入の承認を受けることを要しない。,✖
【第48回第29問】2 輸入貿易管理令第 19 条の規定に基づき政府機関が経済産業大臣の定める貨物の輸入を行う場合には、同令第 15 条の規定に基づく税関の確認は免除されている。,✖
【第48回第29問】3 本邦から出漁した船舶が外国の領海において採捕した水産物で当該船舶により輸入されるものについては、経済産業大臣の輸入の承認を要しない。,〇
【第48回第29問】4 輸入貿易管理令第 18 条の規定により、経済産業省令で定める範囲の貨物の輸入の承認に係る経済産業大臣の権限は税関長に委任されているが、当該承認に条件を付する権限は委任されていない。,✖
【第48回第29問】5 船舶又は航空機により輸出した貨物であって、当該船舶又は航空機の事故のため積み戻したものについても、経済産業大臣の輸入の承認を要する。,✖
【第49回第25問】1 輸出貿易管理令別表第１の１の項の中欄に掲げる貨物を輸出しようとする場合であっても、国際郵便を利用して当該貨物を輸出しようとするときは、経済産業大臣の輸出の許可を要しない。,✖
